Rank,Word,Word in English,Happiness Score,Standard Deviation of Ratings
9601,doubts,doubts,3.3,1.43
9600,cigarettes,cigarettes,3.31,2.6
9599,choke,choke,3.31,1.69
9598,savage,savage,3.31,1.95
9597,shots,shots,3.32,2.01
9596,scars,scars,3.32,1.73
9595,restrictions,restrictions,3.32,0.96
9594,opposed,opposed,3.32,1.41
9593,noose,noose,3.32,2.22
9592,nigga,nigga,3.32,2.05
9591,ignored,ignored,3.32,1.5
9590,expenses,expenses,3.32,1.35
9589,couldn't,couldn't,3.32,1.13
9588,confusion,confusion,3.32,1.36
9587,cannot,cannot,3.32,0.98
9586,bleeds,bleeds,3.32,1.81
9585,alone,alone,3.32,1.73
9584,whack,whack,3.32,1.43
9583,envy,envy,3.33,1.55
9582,sinner,sinner,3.33,1.84
9581,fucker,fucker,3.33,2.21
9580,warning,warning,3.34,1.42
9579,vulnerable,vulnerable,3.34,1.51
9578,unfair,unfair,3.34,2.01
9577,traffic,traffic,3.34,1.65
9576,tired,tired,3.34,1.12
9575,politicians,politicians,3.34,1.14
9574,never,never,3.34,1.24
9573,crap,crap,3.34,1.65
9572,complicated,complicated,3.34,1.7
9571,burnt,burnt,3.34,1.93
9570,injection,injection,3.35,1.58
9569,emptiness,emptiness,3.35,1.97
9568,weapon,weapon,3.36,1.66
9567,tornado,tornado,3.36,1.83
9566,syndrome,syndrome,3.36,1.08
9565,killin,killin,3.36,1.95
9564,forbidden,forbidden,3.36,1.79
9563,dentist,dentist,3.36,1.69
9562,deleted,deleted,3.36,1.48
9561,dammit,dammit,3.36,1.79
9560,critic,critic,3.36,1.32
9559,busted,busted,3.36,1.31
9558,bullet,bullet,3.36,1.8
9557,beast,beast,3.36,1.52
9556,argued,argued,3.36,1.47
9555,phony,phony,3.36,1.91
9554,torn,torn,3.37,1.47
9553,hunger,hunger,3.37,2
9552,blinded,blinded,3.37,1.58
9551,wicked,wicked,3.38,1.95
9550,refused,refused,3.38,1.46
9549,hungry,hungry,3.38,1.93
9548,haunting,haunting,3.38,1.74
9547,eliminated,eliminated,3.38,1.69
9546,discontinued,discontinued,3.38,1.46
9545,difficulty,difficulty,3.38,1.23
9544,delay,delay,3.38,1.32
9543,unconscious,unconscious,3.39,1.51
9542,stain,stain,3.39,1.34
9541,deception,deception,3.39,1.8
9540,whores,whores,3.4,2.29
9539,struggle,struggle,3.4,1.75
9538,separated,separated,3.4,1.32
9537,muthafucka,muthafucka,3.4,2.19
9536,condolences,condolences,3.4,1.88
9535,against,against,3.4,1.23
9534,zit,zit,3.41,1.64
9533,disturbed,disturbed,3.41,1.59
9532,troubles,troubles,3.42,2.15
9531,shouting,shouting,3.42,1.6
9530,shatter,shatter,3.42,1.82
9529,raging,raging,3.42,1.64
9528,obsessed,obsessed,3.42,1.47
9527,lame,lame,3.42,1.43
9526,invasion,invasion,3.42,2.02
9525,ignorant,ignorant,3.42,1.87
9524,gone,gone,3.42,1.74
9523,gangsta,gangsta,3.42,1.9
9522,erroneous,erroneous,3.42,1.2
9521,cut,cut,3.42,1.29
9520,can't,can't,3.42,0.97
9519,anxious,anxious,3.42,1.67
9518,smashed,smashed,3.42,1.74
9517,foes,foes,3.43,1.32
9516,diss,diss,3.43,1.88
9515,trap,trap,3.44,1.83
9514,disappeared,disappeared,3.44,1.77
9513,cage,cage,3.44,1.98
9512,zero,zero,3.44,1.64
9511,seized,seized,3.44,1.46
9510,poop,poop,3.44,1.72
9509,litigation,litigation,3.44,1.59
9508,ghetto,ghetto,3.44,1.69
9507,forgot,forgot,3.44,1.42
9506,fault,fault,3.44,1.3
9505,deny,deny,3.44,1.39
9504,delays,delays,3.44,1.15
9503,confined,confined,3.44,1.74
9502,stab,stab,3.45,2.13
9501,radiation,radiation,3.45,2.28
9500,fright,fright,3.45,1.84
9499,wreck,wreck,3.46,1.8
9498,thorn,thorn,3.46,1.57
9497,sting,sting,3.46,1.74
9496,shoot,shoot,3.46,1.67
9495,refuse,refuse,3.46,0.93
9494,monster,monster,3.46,1.92
9493,misunderstood,misunderstood,3.46,1.7
9492,misstated,misstated,3.46,1.01
9491,misspelled,misspelled,3.46,1.36
9490,late,late,3.46,1.16
9489,isolated,isolated,3.46,1.82
9488,insanity,insanity,3.46,2.18
9487,fee,fee,3.46,1.3
9486,creepy,creepy,3.46,1.69
9485,chaos,chaos,3.46,1.79
9484,urine,urine,3.47,1.67
9483,monsters,monsters,3.47,1.68
9482,deceive,deceive,3.47,2.01
9481,swollen,swollen,3.48,1.83
9480,sinking,sinking,3.48,1.75
9479,screams,screams,3.48,2.04
9478,zombie,zombie,3.48,1.82
9477,unlikely,unlikely,3.48,1.31
9476,tobacco,tobacco,3.48,2.18
9475,sucked,sucked,3.48,1.85
9474,opposition,opposition,3.48,1.23
9473,opponents,opponents,3.48,1.09
9472,no,no,3.48,1.3
9471,inmates,inmates,3.48,2.02
9470,cant,cant,3.48,1.11
9469,pressures,pressures,3.49,1.76
9468,deficiency,deficiency,3.49,1.7
9467,struck,struck,3.5,1.4
9466,snake,snake,3.5,1.67
9465,paranoid,paranoid,3.5,1.84
9464,hospital,hospital,3.5,1.62
9463,foe,foe,3.5,1.71
9462,dope,dope,3.5,1.71
9461,casket,casket,3.5,2.1
9460,untrue,untrue,3.51,1.31
9459,warned,warned,3.52,1.31
9458,ugh,ugh,3.52,1.5
9457,tomb,tomb,3.52,2.04
9456,teardrops,teardrops,3.52,1.73
9455,suspicion,suspicion,3.52,1.5
9454,suspected,suspected,3.52,1.16
9453,fallen,fallen,3.52,1.42
9452,apart,apart,3.52,1.34
9451,addicted,addicted,3.52,2.1
9450,spite,spite,3.53,1.83
9449,separation,separation,3.53,1.82
9448,missin,missin,3.53,1.42
9447,drunken,drunken,3.53,2
9446,without,without,3.54,1.11
9445,slug,slug,3.54,1.37
9444,shock,shock,3.54,1.62
9443,rough,rough,3.54,1.45
9442,poor's,poor's,3.54,1.42
9441,owe,owe,3.54,1.51
9440,hospitals,hospitals,3.54,1.57
9439,forsaken,forsaken,3.54,1.94
9438,expensive,expensive,3.54,1.76
9437,dispute,dispute,3.54,1.73
